full_name,specialty,city,address,rating,fees,phone
Dr. Hadi Mansour,Cardiologist,Beirut,12 Hamra Street,4.8,70,+961-70-123-456
Dr. Rima Saliba,Dermatologist,Beirut,48 Sassine Square,4.7,45,+961-71-889-223
Dr. Georges Mattar,Orthopedic,Jounieh,22 Keserwan Road,4.5,60,+961-3-556-902
Dr. Layal Barakat,Pediatrician,Tripoli,90 Mina Street,4.9,30,+961-76-220-113
Dr. Tony El-Khoury,Gynecologist,Zahle,14 Bekaa Highway,4.6,55,+961-81-553-004
Dr. Nour Fakhoury,Psychiatrist,Beirut,33 Verdun Avenue,4.8,80,+961-70-992-881
Dr. Walid Daher,Neurologist,Saida,120 Coastal Road,4.7,95,+961-7-442-771
Dr. Mira Habib,ENT Specialist,Beirut,3 Achrafieh Main St,4.5,40,+961-1-334-556
Dr. Elias Chahine,Surgeon,Byblos,55 Byblos Port Road,4.6,100,+961-9-888-101
Dr. Rana Khalil,Family Physician,Tyre,18 Old Market Rd,4.4,25,+961-71-930-224
Dr. Fadi Rahme,Hematologist,Beirut,62 Spears Street,4.7,90,+961-76-551-440
Dr. Samar Kassis,Allergist,Dbayeh,11 Waterfront Drive,4.5,40,+961-70-667-102
Dr. Charbel Youssef,Urologist,Baabda,98 Palace Road,4.6,65,+961-81-723-991
Dr. Hana Zaarour,Ophthalmologist,Beirut,27 Sodeco Street,4.8,60,+961-3-821-554
Dr. Ziad Saad,Oncologist,Tripoli,7 Nour Square,4.7,110,+961-6-443-200
Dr. Lara Nassar,Endocrinologist,Jbeil,40 Old Souk Road,4.5,55,+961-9-310-884
Dr. Rayan Bou Rached,Orthopedic Surgeon,Beirut,88 Cola Bridge,4.6,70,+961-71-555-844
Dr. Maryam Khattar,Cardiologist,Saida,19 Stadium Road,4.7,75,+961-7-775-201
Dr. Jad Abou Zeid,Dentist,Beirut,5 Gemmayzeh St,4.9,35,+961-70-234-600
Dr. Hiba Mourad,Neurologist,Tripoli,32 Tall Street,4.6,95,+961-76-880-301
Dr. Jad Fares,Cardiologist,Beirut,Beirut,4.7,120, +961-3-100100
Dr. Maya Khoury,Dermatologist,Beirut,Beirut,4.8,90, +961-3-200300
Dr. Rami Saab,Orthopedic,Beirut,Beirut,4.6,150, +961-3-400500
Dr. Leila Barakat,Pediatrician,Tripoli,Tripoli,4.9,60, +961-71-223344
Dr. Samer Mansour,Neurologist,Beirut,Beirut,4.7,180, +961-3-556677
Dr. Rana El Helou,Surgeon,Saida,Saida,4.5,200, +961-76-908070
Dr. Tarek Abou Khalil,Gynecologist,Jounieh,Jounieh,4.8,100, +961-3-445566
Dr. Hiba Dandache,Endocrinologist,Beirut,Beirut,4.6,130, +961-71-778899
Dr. Joseph Matar,Psychiatrist,Zahle,Zahle,4.7,110, +961-76-112233
Dr. Rola Obeid,Oncologist,Beirut,Beirut,4.9,250, +961-3-889900
Dr. Fadi Chidiac,Urologist,Byblos,Byblos,4.5,95, +961-81-334455
Dr. Nour Hammoud,Ophthalmologist,Beirut,Beirut,4.8,85, +961-3-556644
Dr. Ali Nasser,General Practitioner,Tyr,Tyr,4.4,50, +961-70-778855
Dr. Carla Daher,Cardiologist,Beirut,Beirut,4.7,140, +961-3-333777
Dr. Hussein Fawaz,Orthopedic,Nabatieh,Nabatieh,4.5,120, +961-70-447788
Dr. Lama Bitar,Dermatologist,Baalbek,Baalbek,4.6,75, +961-71-990011
Dr. Elie Rached,Neurologist,Jbeil,Jbeil,4.8,160, +961-3-660077
Dr. Mariam Kassem,Pediatrician,Saida,Saida,4.9,55, +961-76-445533
Dr. Ahmad Mortada,Surgeon,Beirut,Beirut,4.6,220, +961-3-222444
Dr. Racha Yazbeck,Gynecologist,Beirut,Beirut,4.8,105, +961-70-112255


